Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Montenegro,2020-04-21 14:30:32,42.708.678.000.000.000,1.937.439,313,5,90,218,49.835.844.231.938.800,,,1.597.444.089.456.860,499,MNE
Morocco,2020-04-21 14:30:32,317.917,-70.926,3186,144,359,2683,8.631.676.605.918.550,,,4.519.774.011.299.430,504,MAR
Mozambique,2020-04-21 14:30:32,-18.665.695,35.529.562,39,0,8,31,12.477.829.855.831.400,,,0.0,508,MOZ
Namibia,2020-04-21 14:30:32,-229.576,184.904,16,0,6,10,6.296.941.732.823.910,,,0.0,516,NAM
Nepal,2020-04-21 14:30:32,281.667,84.25,43,0,4,39,1.475.796.525.137.550,,,0.0,524,NPL
New Zealand,2020-04-21 14:30:32,-409.006,174.886,1445,13,1006,426,29.965.370.814.724.200,,,8.996.539.792.387.540,554,NZL
Nicaragua,2020-04-21 14:30:32,12.865.416,-85.207.229,10,2,6,2,1.509.535.585.339.020,,,20.0,558,NIC
Niger,2020-04-21 14:30:32,17.607.789,8.081.666,655,20,124,511,270.586.958.055.634,,,3.053.435.114.503.810,562,NER
Nigeria,2020-04-21 14:30:32,9.082,8.6753,665,22,188,455,3.225.969.401.015.630,,,3.308.270.676.691.720,566,NGA
North Macedonia,2020-04-21 14:30:32,416.086,217.453,1231,55,224,952,5.908.667.645.844.730,,,4.467.912.266.450.040,807,MKD
Oman,2020-04-21 14:30:32,21.512.583,5.592.325.500.000.000,1508,8,238,1262,2.953.028.440.327.080,,,5.305.039.787.798.400,512,OMN
Pakistan,2020-04-21 14:30:32,303.753,693.451,9216,192,2066,6958,4.172.168.385.510.850,,,20.833.333.333.333.300,586,PAK
Panama,2020-04-21 14:30:32,8.538,-807.821,4658,136,204,4318,10.795.481.935.529.300,,,29.197.080.291.970.800,591,PAN
Papua New Guinea,2020-04-21 14:30:32,-6.314.993,14.395.555,7,0,0,7,782.382.795.983.515,,,0.0,598,PNG
Paraguay,2020-04-21 14:30:32,-234.425,-584.438,208,8,53,147,2.916.216.265.476.620,,,38.461.538.461.538.400,600,PRY
Peru,2020-04-21 14:30:32,-9.19,-750.152,16325,445,6968,8912,4.951.193.815.475.170,,,27.258.805.513.016.800,604,PER
